feature_name,dtype,description
inter_problem_per_video,float64,MOOC behavioral engineered feature
inter_access_per_day,float64,MOOC behavioral engineered feature
inter_engagement_score,float64,MOOC behavioral engineered feature
inter_diversity_score,float64,MOOC behavioral engineered feature
graph_degree_approx,float64,MOOC behavioral engineered feature
graph_user_n_courses,float64,MOOC behavioral engineered feature
graph_obj_about,float64,MOOC behavioral engineered feature
graph_obj_chapter,float64,MOOC behavioral engineered feature
graph_obj_combinedopenended,float64,MOOC behavioral engineered feature
graph_obj_dictation,float64,MOOC behavioral engineered feature
graph_obj_discussion,float64,MOOC behavioral engineered feature
graph_obj_html,float64,MOOC behavioral engineered feature
graph_obj_outlink,float64,MOOC behavioral engineered feature
graph_obj_peergrading,float64,MOOC behavioral engineered feature
graph_obj_problem,float64,MOOC behavioral engineered feature
graph_obj_sequential,float64,MOOC behavioral engineered feature
graph_obj_static_tab,float64,MOOC behavioral engineered feature
graph_obj_vertical,float64,MOOC behavioral engineered feature
graph_obj_video,float64,MOOC behavioral engineered feature
seq_seq_count_PAD,float64,MOOC behavioral engineered feature
seq_seq_count_access,float64,MOOC behavioral engineered feature
seq_seq_count_navigate,float64,MOOC behavioral engineered feature
seq_seq_count_page_close,float64,MOOC behavioral engineered feature
seq_seq_count_video,float64,MOOC behavioral engineered feature
seq_seq_count_problem,float64,MOOC behavioral engineered feature
seq_seq_count_discussion,float64,MOOC behavioral engineered feature
seq_seq_count_wiki,float64,MOOC behavioral engineered feature
seq_seq_nonpad_count,float64,MOOC behavioral engineered feature
seq_seq_pad_ratio,float64,MOOC behavioral engineered feature
seq_seq_event_diversity,float64,MOOC behavioral engineered feature
seq_seq_first10_access,float64,MOOC behavioral engineered feature
seq_seq_last10_access,float64,MOOC behavioral engineered feature
seq_seq_ratio_access,float64,MOOC behavioral engineered feature
seq_seq_first10_video,float64,MOOC behavioral engineered feature
seq_seq_last10_video,float64,MOOC behavioral engineered feature
seq_seq_ratio_video,float64,MOOC behavioral engineered feature
seq_seq_first10_problem,float64,MOOC behavioral engineered feature
seq_seq_last10_problem,float64,MOOC behavioral engineered feature
seq_seq_ratio_problem,float64,MOOC behavioral engineered feature
seq_seq_first10_discussion,float64,MOOC behavioral engineered feature
seq_seq_last10_discussion,float64,MOOC behavioral engineered feature
seq_seq_ratio_discussion,float64,MOOC behavioral engineered feature
seq_seq_first10_navigate,float64,MOOC behavioral engineered feature
seq_seq_last10_navigate,float64,MOOC behavioral engineered feature
seq_seq_ratio_navigate,float64,MOOC behavioral engineered feature
seq_seq_first10_page_close,float64,MOOC behavioral engineered feature
seq_seq_last10_page_close,float64,MOOC behavioral engineered feature
seq_seq_ratio_page_close,float64,MOOC behavioral engineered feature
seq_seq_entropy,float64,MOOC behavioral engineered feature
raw_inact_days_since_last_activity,float64,MOOC behavioral engineered feature
raw_inact_last_active_day,float64,MOOC behavioral engineered feature
raw_inact_first_active_day,float64,MOOC behavioral engineered feature
raw_inact_longest_zero_streak,float64,MOOC behavioral engineered feature
raw_inact_longest_active_streak,float64,MOOC behavioral engineered feature
raw_inact_trailing_active_streak,float64,MOOC behavioral engineered feature
raw_inact_daily_zero_days,float64,MOOC behavioral engineered feature
raw_inact_daily_zero_days_ratio,float64,MOOC behavioral engineered feature
raw_inact_zero_last3,float64,MOOC behavioral engineered feature
raw_inact_active_last7,float64,MOOC behavioral engineered feature
raw_inact_active_last3,float64,MOOC behavioral engineered feature
raw_inact_first3_sum,float64,MOOC behavioral engineered feature
raw_inact_last14_sum,float64,MOOC behavioral engineered feature
raw_inact_first14_sum,float64,MOOC behavioral engineered feature
raw_inact_last7_first7_ratio,float64,MOOC behavioral engineered feature
raw_inact_last3_first3_ratio,float64,MOOC behavioral engineered feature
raw_inact_last14_first14_ratio,float64,MOOC behavioral engineered feature
raw_inact_last7_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_last3_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_last2_sum,float64,MOOC behavioral engineered feature
raw_inact_last5_sum,float64,MOOC behavioral engineered feature
raw_inact_last10_sum,float64,MOOC behavioral engineered feature
raw_inact_daily_cv,float64,MOOC behavioral engineered feature
raw_inact_daily_slope,float64,MOOC behavioral engineered feature
raw_inact_activity_decay_rate,float64,MOOC behavioral engineered feature
raw_inact_late_activity_entropy,float64,MOOC behavioral engineered feature
raw_inact_daily_recency_weighted,float64,MOOC behavioral engineered feature
raw_inact_is_inactive_last_day,float64,MOOC behavioral engineered feature
raw_inact_is_inactive_last3_all,float64,MOOC behavioral engineered feature
raw_inact_is_inactive_last7_all,float64,MOOC behavioral engineered feature
raw_inact_temp_w_last_first_ratio,float64,MOOC behavioral engineered feature
raw_inact_temp_w_last_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_temp_w_last2_first2_ratio,float64,MOOC behavioral engineered feature
raw_inact_temp_w_drop_first_minus_last,float64,MOOC behavioral engineered feature
raw_inact_temp_w_zero_last,float64,MOOC behavioral engineered feature
raw_inact_temp_w_zero_count,float64,MOOC behavioral engineered feature
raw_inact_temp_w_trailing_zero_streak,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_last_first_ratio,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_last_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_last2_first2_ratio,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_drop_first_minus_last,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_slope,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_zero_last,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_zero_count,float64,MOOC behavioral engineered feature
raw_inact_sessions_in_week_trailing_zero_streak,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_last_first_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_last_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_last2_first2_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_drop_first_minus_last,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_zero_last,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_zero_count,float64,MOOC behavioral engineered feature
raw_inact_mc_access_w_trailing_zero_streak,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_last_first_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_last_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_last2_first2_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_drop_first_minus_last,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_slope,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_zero_last,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_zero_count,float64,MOOC behavioral engineered feature
raw_inact_mc_problem_w_trailing_zero_streak,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_last_first_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_last_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_last2_first2_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_drop_first_minus_last,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_slope,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_zero_last,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_zero_count,float64,MOOC behavioral engineered feature
raw_inact_mc_video_w_trailing_zero_streak,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_last_first_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_last_total_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_last2_first2_ratio,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_drop_first_minus_last,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_slope,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_zero_last,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_zero_count,float64,MOOC behavioral engineered feature
raw_inact_mc_discussion_w_trailing_zero_streak,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_problem,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_video,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_access,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_wiki,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_discussion,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_navigate,float64,MOOC behavioral engineered feature
MRatio_W1_cnt_page_close,float64,MOOC behavioral engineered feature
MRatio_W1_dur_problem,float64,MOOC behavioral engineered feature
MRatio_W1_dur_video,float64,MOOC behavioral engineered feature
MRatio_W1_dur_access,float64,MOOC behavioral engineered feature
MRatio_W1_dur_wiki,float64,MOOC behavioral engineered feature
MRatio_W1_dur_discussion,float64,MOOC behavioral engineered feature
MRatio_W1_dur_navigate,float64,MOOC behavioral engineered feature
MRatio_W1_dur_page_close,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_problem,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_video,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_access,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_wiki,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_discussion,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_navigate,float64,MOOC behavioral engineered feature
MRatio_W2_cnt_page_close,float64,MOOC behavioral engineered feature
MRatio_W2_dur_problem,float64,MOOC behavioral engineered feature
MRatio_W2_dur_video,float64,MOOC behavioral engineered feature
MRatio_W2_dur_access,float64,MOOC behavioral engineered feature
MRatio_W2_dur_wiki,float64,MOOC behavioral engineered feature
MRatio_W2_dur_discussion,float64,MOOC behavioral engineered feature
MRatio_W2_dur_navigate,float64,MOOC behavioral engineered feature
MRatio_W2_dur_page_close,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_problem,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_video,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_access,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_wiki,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_discussion,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_navigate,float64,MOOC behavioral engineered feature
MRatio_W3_cnt_page_close,float64,MOOC behavioral engineered feature
MRatio_W3_dur_problem,float64,MOOC behavioral engineered feature
MRatio_W3_dur_video,float64,MOOC behavioral engineered feature
MRatio_W3_dur_access,float64,MOOC behavioral engineered feature
MRatio_W3_dur_wiki,float64,MOOC behavioral engineered feature
MRatio_W3_dur_discussion,float64,MOOC behavioral engineered feature
MRatio_W3_dur_navigate,float64,MOOC behavioral engineered feature
MRatio_W3_dur_page_close,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_problem,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_video,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_access,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_wiki,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_discussion,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_navigate,float64,MOOC behavioral engineered feature
MRatio_W4_cnt_page_close,float64,MOOC behavioral engineered feature
MRatio_W4_dur_problem,float64,MOOC behavioral engineered feature
MRatio_W4_dur_video,float64,MOOC behavioral engineered feature
MRatio_W4_dur_access,float64,MOOC behavioral engineered feature
MRatio_W4_dur_wiki,float64,MOOC behavioral engineered feature
MRatio_W4_dur_discussion,float64,MOOC behavioral engineered feature
MRatio_W4_dur_navigate,float64,MOOC behavioral engineered feature
MRatio_W4_dur_page_close,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_problem,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_video,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_access,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_wiki,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_discussion,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_navigate,float64,MOOC behavioral engineered feature
MRatio_W5_cnt_page_close,float64,MOOC behavioral engineered feature
MRatio_W5_dur_problem,float64,MOOC behavioral engineered feature
MRatio_W5_dur_video,float64,MOOC behavioral engineered feature
MRatio_W5_dur_access,float64,MOOC behavioral engineered feature
MRatio_W5_dur_wiki,float64,MOOC behavioral engineered feature
MRatio_W5_dur_discussion,float64,MOOC behavioral engineered feature
MRatio_W5_dur_navigate,float64,MOOC behavioral engineered feature
MRatio_W5_dur_page_close,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_problem,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_video,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_access,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_wiki,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_discussion,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_navigate,float64,MOOC behavioral engineered feature
SRatio_W1_cnt_page_close,float64,MOOC behavioral engineered feature
SRatio_W1_dur_problem,float64,MOOC behavioral engineered feature
SRatio_W1_dur_video,float64,MOOC behavioral engineered feature
SRatio_W1_dur_access,float64,MOOC behavioral engineered feature
SRatio_W1_dur_wiki,float64,MOOC behavioral engineered feature
SRatio_W1_dur_discussion,float64,MOOC behavioral engineered feature
SRatio_W1_dur_navigate,float64,MOOC behavioral engineered feature
SRatio_W1_dur_page_close,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_problem,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_video,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_access,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_wiki,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_discussion,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_navigate,float64,MOOC behavioral engineered feature
SRatio_W2_cnt_page_close,float64,MOOC behavioral engineered feature
SRatio_W2_dur_problem,float64,MOOC behavioral engineered feature
SRatio_W2_dur_video,float64,MOOC behavioral engineered feature
SRatio_W2_dur_access,float64,MOOC behavioral engineered feature
SRatio_W2_dur_wiki,float64,MOOC behavioral engineered feature
SRatio_W2_dur_discussion,float64,MOOC behavioral engineered feature
SRatio_W2_dur_navigate,float64,MOOC behavioral engineered feature
SRatio_W2_dur_page_close,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_problem,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_video,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_access,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_wiki,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_discussion,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_navigate,float64,MOOC behavioral engineered feature
SRatio_W3_cnt_page_close,float64,MOOC behavioral engineered feature
SRatio_W3_dur_problem,float64,MOOC behavioral engineered feature
SRatio_W3_dur_video,float64,MOOC behavioral engineered feature
SRatio_W3_dur_access,float64,MOOC behavioral engineered feature
SRatio_W3_dur_wiki,float64,MOOC behavioral engineered feature
SRatio_W3_dur_discussion,float64,MOOC behavioral engineered feature
SRatio_W3_dur_navigate,float64,MOOC behavioral engineered feature
SRatio_W3_dur_page_close,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_problem,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_video,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_access,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_wiki,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_discussion,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_navigate,float64,MOOC behavioral engineered feature
SRatio_W4_cnt_page_close,float64,MOOC behavioral engineered feature
SRatio_W4_dur_problem,float64,MOOC behavioral engineered feature
SRatio_W4_dur_video,float64,MOOC behavioral engineered feature
SRatio_W4_dur_access,float64,MOOC behavioral engineered feature
SRatio_W4_dur_wiki,float64,MOOC behavioral engineered feature
SRatio_W4_dur_discussion,float64,MOOC behavioral engineered feature
SRatio_W4_dur_navigate,float64,MOOC behavioral engineered feature
SRatio_W4_dur_page_close,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_problem,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_video,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_access,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_wiki,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_discussion,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_navigate,float64,MOOC behavioral engineered feature
SRatio_W5_cnt_page_close,float64,MOOC behavioral engineered feature
SRatio_W5_dur_problem,float64,MOOC behavioral engineered feature
SRatio_W5_dur_video,float64,MOOC behavioral engineered feature
SRatio_W5_dur_access,float64,MOOC behavioral engineered feature
SRatio_W5_dur_wiki,float64,MOOC behavioral engineered feature
SRatio_W5_dur_discussion,float64,MOOC behavioral engineered feature
SRatio_W5_dur_navigate,float64,MOOC behavioral engineered feature
SRatio_W5_dur_page_close,float64,MOOC behavioral engineered feature
Rank_W1_cnt_problem,float64,MOOC behavioral engineered feature
Rank_W1_cnt_video,float64,MOOC behavioral engineered feature
Rank_W1_cnt_access,float64,MOOC behavioral engineered feature
Rank_W1_cnt_wiki,float64,MOOC behavioral engineered feature
Rank_W1_cnt_discussion,float64,MOOC behavioral engineered feature
Rank_W1_cnt_navigate,float64,MOOC behavioral engineered feature
Rank_W1_cnt_page_close,float64,MOOC behavioral engineered feature
Rank_W1_dur_problem,float64,MOOC behavioral engineered feature
Rank_W1_dur_video,float64,MOOC behavioral engineered feature
Rank_W1_dur_access,float64,MOOC behavioral engineered feature
Rank_W1_dur_wiki,float64,MOOC behavioral engineered feature
Rank_W1_dur_discussion,float64,MOOC behavioral engineered feature
Rank_W1_dur_navigate,float64,MOOC behavioral engineered feature
Rank_W1_dur_page_close,float64,MOOC behavioral engineered feature
Rank_W2_cnt_problem,float64,MOOC behavioral engineered feature
Rank_W2_cnt_video,float64,MOOC behavioral engineered feature
Rank_W2_cnt_access,float64,MOOC behavioral engineered feature
Rank_W2_cnt_wiki,float64,MOOC behavioral engineered feature
Rank_W2_cnt_discussion,float64,MOOC behavioral engineered feature
Rank_W2_cnt_navigate,float64,MOOC behavioral engineered feature
Rank_W2_cnt_page_close,float64,MOOC behavioral engineered feature
Rank_W2_dur_problem,float64,MOOC behavioral engineered feature
Rank_W2_dur_video,float64,MOOC behavioral engineered feature
Rank_W2_dur_access,float64,MOOC behavioral engineered feature
Rank_W2_dur_wiki,float64,MOOC behavioral engineered feature
Rank_W2_dur_discussion,float64,MOOC behavioral engineered feature
Rank_W2_dur_navigate,float64,MOOC behavioral engineered feature
Rank_W2_dur_page_close,float64,MOOC behavioral engineered feature
Rank_W3_cnt_problem,float64,MOOC behavioral engineered feature
Rank_W3_cnt_video,float64,MOOC behavioral engineered feature
Rank_W3_cnt_access,float64,MOOC behavioral engineered feature
Rank_W3_cnt_wiki,float64,MOOC behavioral engineered feature
Rank_W3_cnt_discussion,float64,MOOC behavioral engineered feature
Rank_W3_cnt_navigate,float64,MOOC behavioral engineered feature
Rank_W3_cnt_page_close,float64,MOOC behavioral engineered feature
Rank_W3_dur_problem,float64,MOOC behavioral engineered feature
Rank_W3_dur_video,float64,MOOC behavioral engineered feature
Rank_W3_dur_access,float64,MOOC behavioral engineered feature
Rank_W3_dur_wiki,float64,MOOC behavioral engineered feature
Rank_W3_dur_discussion,float64,MOOC behavioral engineered feature
Rank_W3_dur_navigate,float64,MOOC behavioral engineered feature
Rank_W3_dur_page_close,float64,MOOC behavioral engineered feature
Rank_W4_cnt_problem,float64,MOOC behavioral engineered feature
Rank_W4_cnt_video,float64,MOOC behavioral engineered feature
Rank_W4_cnt_access,float64,MOOC behavioral engineered feature
Rank_W4_cnt_wiki,float64,MOOC behavioral engineered feature
Rank_W4_cnt_discussion,float64,MOOC behavioral engineered feature
Rank_W4_cnt_navigate,float64,MOOC behavioral engineered feature
Rank_W4_cnt_page_close,float64,MOOC behavioral engineered feature
Rank_W4_dur_problem,float64,MOOC behavioral engineered feature
Rank_W4_dur_video,float64,MOOC behavioral engineered feature
